"client_ip","client_port","server_ip","server_port","packets","bytes","packets_cli_to_srv","bytes_cli_to_srv","packets_srv_to_cli","bytes_srv_to_cli","start_time","duration","bits/s_cli_to_srv","bits/s_srv_to_cli"
"192.168.11.9",57966,"192.168.11.3",161,2,286,1,128,1,158,219.190248,0.009338000000013835,109659.4559861301,135360.89098287933
"192.168.11.9",63520,"224.0.0.252",5355,1,75,1,75,0,0,219.20329,0,0,0
"192.168.11.9",63521,"192.168.11.3",161,2,303,1,93,1,210,219.203884,0.011170000000021219,66606.98299002567,150402.86481618698
"192.168.11.9",63438,"192.168.11.3",5355,1,106,0,0,1,106,219.276999,0,0,0
"192.168.11.9",63520,"192.168.11.3",5355,1,106,0,0,1,106,219.278581,0,0,0
"192.168.11.9",53517,"224.0.0.252",5355,2,150,2,150,0,0,221.55229,0.41155200000000036,2915.7919290879377,0
"192.168.11.9",61029,"192.168.11.1",53,3,510,2,150,1,360,222.748283,0.03915200000000141,30649.77523498051,73559.46056395322
"192.168.11.9",51193,"192.168.11.1",53,2,451,1,80,1,371,223.226867,0.025673000000011825,24928.913644673594,115607.8370271738
"192.168.11.9",56928,"192.168.11.1",53,2,440,1,76,1,364,223.314303,0.022679000000010774,26808.94219320566,128400.72313587974
"192.168.11.9",62044,"192.168.11.1",53,2,623,1,78,1,545,223.560728,0.02252999999998906,27696.404793621972,193519.75144261506
"192.168.11.9",58545,"192.168.11.1",53,2,453,1,91,1,362,223.576839,0.02297500000000241,31686.61588683019,126050.05440695086
"192.168.11.9",53214,"224.0.0.252",5355,2,150,2,150,0,0,224.029042,0.41157799999999156,2915.6077341355094,0
"192.168.11.9",57920,"224.0.0.252",5355,2,150,2,150,0,0,226.386714,0.41392499999997767,2899.0759195507994,0
"192.168.11.9",56779,"239.255.255.250",1900,4,864,4,864,0,0,228.3874,3.001935999999972,2302.5141108937914,0
"192.168.11.9",61848,"224.0.0.252",5355,2,150,2,150,0,0,228.741571,0.41033899999999335,2924.411279454352,0
"192.168.11.9",57055,"224.0.0.252",5355,2,150,2,150,0,0,231.098631,0.41040499999999724,2923.94098512447,0
"192.168.11.9",63380,"192.168.11.1",53,2,390,1,81,1,309,244.702252,0.022468000000003485,28841.018337186197,110023.14402704364
"192.168.11.9",52926,"224.0.0.252",5355,1,75,1,75,0,0,244.977386,0,0,0
"192.168.11.9",62598,"224.0.0.252",5355,1,75,1,75,0,0,244.97988900000001,0,0,0
"192.168.11.9",64603,"192.168.11.1",53,2,567,1,77,1,490,245.027963,0.024374999999992042,25271.794871803122,160820.51282056532
"192.168.11.9",50842,"192.168.11.1",53,2,313,1,77,1,236,245.027964,0.026259000000010246,23458.62370995695,71899.15838376417
"192.168.11.9",52926,"192.168.11.3",5355,1,106,0,0,1,106,245.069757,0,0,0
"192.168.11.9",62598,"192.168.11.3",5355,1,106,0,0,1,106,245.070737,0,0,0
"192.168.11.9",63969,"224.0.0.252",5355,2,150,2,150,0,0,246.537558,0.44740699999999833,2682.121647627338,0
"192.168.11.9",52757,"224.0.0.252",5355,2,150,2,150,0,0,248.795292,0.41017700000000445,2925.566279923026,0
"192.168.11.9",58862,"224.0.0.252",5355,1,75,1,75,0,0,249.164896,0,0,0
"192.168.11.9",57839,"224.0.0.252",5355,2,150,2,150,0,0,249.166443,0.41040500000002567,2923.940985124267,0
